1:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
3:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
4:中国采招网        4001-6000
30:软件工程师        北京兆维科技开发有限公司        10000-20000
31:软件测试工程师        北京万里红科技股份有限公司        5000-10000
32:软件工程师        北京泰和利通科技有限公司        10000-20000
33:软件工程师        北京医模科技股份有限公司        10001-15000
34:软件项目经理        北京双旗世纪科技有限公司        15001-20000
35:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
36:软件开发工程师        北京固鸿科技有限公司        10000-20000
37:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
38:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
39:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
40:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
41:软件开发工程师        北京万里红科技股份有限公司        6000-12000
42:软件区域销售        北京华思维信息技术有限公司        5000-10000
43:软件工程师        北京安怀信科技股份有限公司        10001-15000
44:软件工程师        沈阳东软医疗系统有限公司        15001-20000
45:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
46:软件工程师        北京华仪未来科技发展有限公司        10001-15000
47:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
48:软件工程师        北京辉大科技发展有限公司        8000-16000
49:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
50:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
51:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
52:软件销售经理        北京可维创业科技有限公司        6000-12000
53:软件测试工程师        北京华夏电通科技有限公司        8000-15000
54:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
55:软件客户代表        北京世纪兆元科技有限公司        10001-15000
56:软件销售        挚友诚达科技(北京)有限公司        6001-8000
57:软件工程师        北京汇金科技有限责任公司        9000-13000
58:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
59:软件工程师        北京远大创新科技有限公司        8000-12000
60:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
61:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
62:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
63:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
64:中国采招网        4001-6000
65:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
66:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
67:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
68:软件工程师        北京华开领航科技有限责任公司        15000-20000
69:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
70:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
71:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
72:软件工程师        北京华开领航科技有限责任公司        10000-15000
73:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
74:软件开发工程师        北京北变微电网技术有限公司        7000-9000
75:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
76:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
77:软件测试工程师        北京万里红科技股份有限公司        6000-12000
78:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
79:软件工程师        北京慧清科技有限公司        12000-20000
80:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
81:软件工程师        北京优尔博特创新科技有限公司        15001-20000
82:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
83:软件开发工程师        北京天元特通科技有限公司        10001-15000
84:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
85:软件销售        厦门安妮股份有限公司        8001-10000
86:软件工程师        北京慧清科技有限公司        12000-20000
87:软件工程师        北京华仪未来科技发展有限公司        10001-15000
88:软件开发项目经理        北京店帮科技有限公司        10001-15000
89:软件工程师        北京起鹏科技发展有限公司        10001-15000
90:软件工程师        北京兆维科技开发有限公司        10000-20000
91:软件测试工程师        北京万里红科技股份有限公司        5000-10000
92:软件工程师        北京泰和利通科技有限公司        10000-20000
93:软件工程师        北京医模科技股份有限公司        10001-15000
94:软件项目经理        北京双旗世纪科技有限公司        15001-20000
95:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
96:软件开发工程师        北京固鸿科技有限公司        10000-20000
97:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
98:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
99:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
100:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
101:软件开发工程师        北京万里红科技股份有限公司        6000-12000
102:软件区域销售        北京华思维信息技术有限公司        5000-10000
103:软件工程师        北京安怀信科技股份有限公司        10001-15000
104:软件工程师        沈阳东软医疗系统有限公司        15001-20000
105:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
106:软件工程师        北京华仪未来科技发展有限公司        10001-15000
107:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
108:软件工程师        北京辉大科技发展有限公司        8000-16000
109:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
110:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
111:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
112:软件销售经理        北京可维创业科技有限公司        6000-12000
113:软件测试工程师        北京华夏电通科技有限公司        8000-15000
114:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
115:软件客户代表        北京世纪兆元科技有限公司        10001-15000
116:软件销售        挚友诚达科技(北京)有限公司        6001-8000
117:软件工程师        北京汇金科技有限责任公司        9000-13000
118:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
119:软件工程师        北京远大创新科技有限公司        8000-12000
120:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
121:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
122:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
123:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
124:中国采招网        4001-6000
125:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
126:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
127:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
128:软件工程师        北京华开领航科技有限责任公司        15000-20000
129:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
130:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
131:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
132:软件工程师        北京华开领航科技有限责任公司        10000-15000
133:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
134:软件开发工程师        北京北变微电网技术有限公司        7000-9000
135:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
136:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
137:软件测试工程师        北京万里红科技股份有限公司        6000-12000
138:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
139:软件工程师        北京慧清科技有限公司        12000-20000
140:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
141:软件工程师        北京优尔博特创新科技有限公司        15001-20000
142:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
143:软件开发工程师        北京天元特通科技有限公司        10001-15000
144:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
145:软件销售        厦门安妮股份有限公司        8001-10000
146:软件工程师        北京慧清科技有限公司        12000-20000
147:软件工程师        北京华仪未来科技发展有限公司        10001-15000
148:软件开发项目经理        北京店帮科技有限公司        10001-15000
149:软件工程师        北京起鹏科技发展有限公司        10001-15000
150:软件工程师        北京兆维科技开发有限公司        10000-20000
151:软件测试工程师        北京万里红科技股份有限公司        5000-10000
152:软件工程师        北京泰和利通科技有限公司        10000-20000
153:软件工程师        北京医模科技股份有限公司        10001-15000
154:软件项目经理        北京双旗世纪科技有限公司        15001-20000
155:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
156:软件开发工程师        北京固鸿科技有限公司        10000-20000
157:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
158:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
159:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
160:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
161:软件开发工程师        北京万里红科技股份有限公司        6000-12000
162:软件区域销售        北京华思维信息技术有限公司        5000-10000
163:软件工程师        北京安怀信科技股份有限公司        10001-15000
164:软件工程师        沈阳东软医疗系统有限公司        15001-20000
165:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
166:软件工程师        北京华仪未来科技发展有限公司        10001-15000
167:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
168:软件工程师        北京辉大科技发展有限公司        8000-16000
169:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
170:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
171:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
172:软件销售经理        北京可维创业科技有限公司        6000-12000
173:软件测试工程师        北京华夏电通科技有限公司        8000-15000
174:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
175:软件客户代表        北京世纪兆元科技有限公司        10001-15000
176:软件销售        挚友诚达科技(北京)有限公司        6001-8000
177:软件工程师        北京汇金科技有限责任公司        9000-13000
178:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
179:软件工程师        北京远大创新科技有限公司        8000-12000
180:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
181:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
182:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
183:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
184:中国采招网        4001-6000
185:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
186:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
187:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
188:软件工程师        北京华开领航科技有限责任公司        15000-20000
189:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
190:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
191:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
192:软件工程师        北京华开领航科技有限责任公司        10000-15000
193:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
194:软件开发工程师        北京北变微电网技术有限公司        7000-9000
195:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
196:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
197:软件测试工程师        北京万里红科技股份有限公司        6000-12000
198:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
199:软件工程师        北京慧清科技有限公司        12000-20000
200:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
201:软件工程师        北京优尔博特创新科技有限公司        15001-20000
202:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
203:软件开发工程师        北京天元特通科技有限公司        10001-15000
204:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
205:软件销售        厦门安妮股份有限公司        8001-10000
206:软件工程师        北京慧清科技有限公司        12000-20000
207:软件工程师        北京华仪未来科技发展有限公司        10001-15000
208:软件开发项目经理        北京店帮科技有限公司        10001-15000
209:软件工程师        北京起鹏科技发展有限公司        10001-15000
210:软件工程师        北京兆维科技开发有限公司        10000-20000
211:软件测试工程师        北京万里红科技股份有限公司        5000-10000
212:软件工程师        北京泰和利通科技有限公司        10000-20000
213:软件工程师        北京医模科技股份有限公司        10001-15000
214:软件项目经理        北京双旗世纪科技有限公司        15001-20000
215:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
216:软件开发工程师        北京固鸿科技有限公司        10000-20000
217:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
218:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
219:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
220:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
221:软件开发工程师        北京万里红科技股份有限公司        6000-12000
222:软件区域销售        北京华思维信息技术有限公司        5000-10000
223:软件工程师        北京安怀信科技股份有限公司        10001-15000
224:软件工程师        沈阳东软医疗系统有限公司        15001-20000
225:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
226:软件工程师        北京华仪未来科技发展有限公司        10001-15000
227:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
228:软件工程师        北京辉大科技发展有限公司        8000-16000
229:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
230:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
231:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
232:软件销售经理        北京可维创业科技有限公司        6000-12000
233:软件测试工程师        北京华夏电通科技有限公司        8000-15000
234:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
235:软件客户代表        北京世纪兆元科技有限公司        10001-15000
236:软件销售        挚友诚达科技(北京)有限公司        6001-8000
237:软件工程师        北京汇金科技有限责任公司        9000-13000
238:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
239:软件工程师        北京远大创新科技有限公司        8000-12000
240:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
241:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
242:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
243:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
244:中国采招网        4001-6000
245:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
246:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
247:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
248:软件工程师        北京华开领航科技有限责任公司        15000-20000
249:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
250:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
251:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
252:软件工程师        北京华开领航科技有限责任公司        10000-15000
253:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
254:软件开发工程师        北京北变微电网技术有限公司        7000-9000
255:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
256:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
257:软件测试工程师        北京万里红科技股份有限公司        6000-12000
258:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
259:软件工程师        北京慧清科技有限公司        12000-20000
260:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
261:软件工程师        北京优尔博特创新科技有限公司        15001-20000
262:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
263:软件开发工程师        北京天元特通科技有限公司        10001-15000
264:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
265:软件销售        厦门安妮股份有限公司        8001-10000
266:软件工程师        北京慧清科技有限公司        12000-20000
267:软件工程师        北京华仪未来科技发展有限公司        10001-15000
268:软件开发项目经理        北京店帮科技有限公司        10001-15000
269:软件工程师        北京起鹏科技发展有限公司        10001-15000
270:软件工程师        北京兆维科技开发有限公司        10000-20000
271:软件测试工程师        北京万里红科技股份有限公司        5000-10000
272:软件工程师        北京泰和利通科技有限公司        10000-20000
273:软件工程师        北京医模科技股份有限公司        10001-15000
274:软件项目经理        北京双旗世纪科技有限公司        15001-20000
275:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
276:软件开发工程师        北京固鸿科技有限公司        10000-20000
277:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
278:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
279:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
280:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
281:软件开发工程师        北京万里红科技股份有限公司        6000-12000
282:软件区域销售        北京华思维信息技术有限公司        5000-10000
283:软件工程师        北京安怀信科技股份有限公司        10001-15000
284:软件工程师        沈阳东软医疗系统有限公司        15001-20000
285:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
286:软件工程师        北京华仪未来科技发展有限公司        10001-15000
287:软件开发工程师        北京易驾佳信息科技有限公司        15000-20000
288:软件工程师        北京辉大科技发展有限公司        8000-16000
289:软件测试工程师（应届生也可以）        北京测试空间科技发展有限公司        6001-8000
290:软件开发部经理        安诺优达基因科技(北京)有限公司        20000-30000
291:软件技术支持工程师（应届毕业生）        北京可维创业科技有限公司        6001-8000
292:软件销售经理        北京可维创业科技有限公司        6000-12000
293:软件测试工程师        北京华夏电通科技有限公司        8000-15000
294:软件测试实习生        上海海徽<b>软件</b>科技有限公司        6001-8000
295:软件客户代表        北京世纪兆元科技有限公司        10001-15000
296:软件销售        挚友诚达科技(北京)有限公司        6001-8000
297:软件工程师        北京汇金科技有限责任公司        9000-13000
298:软件测试助理工程师        北京测试空间科技发展有限公司        6001-8000
299:软件工程师        北京远大创新科技有限公司        8000-12000
300:软件工程师        北京亚太宏图信息科技有限公司        6001-8000
301:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
302:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
303:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
304:中国采招网        4001-6000
305:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
306:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
307:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
308:软件工程师        北京华开领航科技有限责任公司        15000-20000
309:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
310:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
311:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
312:软件工程师        北京华开领航科技有限责任公司        10000-15000
313:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
314:软件开发工程师        北京北变微电网技术有限公司        7000-9000
315:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
316:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
317:软件测试工程师        北京万里红科技股份有限公司        6000-12000
318:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
319:软件工程师        北京慧清科技有限公司        12000-20000
320:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
321:软件工程师        北京优尔博特创新科技有限公司        15001-20000
322:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
323:软件开发工程师        北京天元特通科技有限公司        10001-15000
324:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
325:软件销售        厦门安妮股份有限公司        8001-10000
326:软件工程师        北京慧清科技有限公司        12000-20000
327:软件工程师        北京华仪未来科技发展有限公司        10001-15000
328:软件开发项目经理        北京店帮科技有限公司        10001-15000
329:软件工程师        北京起鹏科技发展有限公司        10001-15000
330:软件工程师        北京兆维科技开发有限公司        10000-20000
331:软件测试工程师        北京万里红科技股份有限公司        5000-10000
332:软件工程师        北京泰和利通科技有限公司        10000-20000
333:软件工程师        北京医模科技股份有限公司        10001-15000
334:软件项目经理        北京双旗世纪科技有限公司        15001-20000
335:软件开发工程师        北京中瑞泰科技有限公司        8000-15000
336:软件开发工程师        北京固鸿科技有限公司        10000-20000
337:软件工程师/C++        北京瑞莱博石油技术有限公司        10001-15000
338:软件销售顾问        北京智邦国际<b>软件</b>技术有限公司        6000-12000
339:软件测试工程师        北京庚顿数据科技有限公司        8000-12000
340:软件行业+底薪5k-8k+双休）        北京智邦国际<b>软件</b>技术有限公司        5000-10000
341:软件开发工程师        北京万里红科技股份有限公司        6000-12000
342:软件区域销售        北京华思维信息技术有限公司        5000-10000
343:软件工程师        北京安怀信科技股份有限公司        10001-15000
344:软件工程师        沈阳东软医疗系统有限公司        15001-20000
345:软件工程师        北京星客合创信息科技研究院(有限合伙)        20001-30000
346:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
347:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
348:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
349:中国采招网        4001-6000
350:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
351:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
352:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
353:软件工程师        北京华开领航科技有限责任公司        15000-20000
354:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
355:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
356:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
